slug,brand,displayName,reference,year,condition,material,shortDescription,curiosityQuote,history
breitling-niebieski,Breitling,Breitling Superocean Heritage B20 Automatic 42,AB2010161C1A1,do potwierdzenia,"bardzo dobry, ocena wst?pna ze zdj??","stal nierdzewna, ceramika, stalowa bransoleta mesh",Breitling Superocean Heritage B20 Automatic 42 z niebiesk? tarcz? ??czy klasyczny styl nurkowy lat 50. z nowoczesnym manufakturowym kalibrem B20.,"Niebieska ceramika i stalowa siatka tworz? zegarek, kt?ry wygl?da naturalnie zar?wno przy wodzie, jak i pod mankietem marynarki.","Superocean Heritage czerpie z pierwszych nurkowych Breitling?w z 1957 roku, ale w wersji B20 Automatic 42 korzysta z nowoczesnego, certyfikowanego chronometru z oko?o 70-godzinn? rezerw? chodu. Tr?jk?tne wskaz?wki, szeroki bezel i bransoleta mesh buduj? rozpoznawalny most mi?dzy zegarkiem narz?dziowym a eleganckim zegarkiem codziennym."
breitling-rozowe-zloto,Breitling,Breitling Chronomat Evolution Chronograph,B13356 / K13356 - wariant do potwierdzenia po dekielku i dokumentach,"ok. 2004-2008, do potwierdzenia","dobry / bardzo dobry, ocena wst?pna ze zdj??","z?oto lub stal-z?oto, sk?ra, masa per?owa",Breitling Chronomat Evolution w z?otej tonacji i z tarcz? mother-of-pearl to masywny chronograf lotniczy w bardziej jubilerskim wydaniu.,"To Chronomat z epoki, w kt?rej techniczny chronograf Breitlinga nabra? ostentacyjnie luksusowego charakteru.","Chronomat Evolution by? rozwini?ciem flagowej linii Breitlinga stworzonej z my?l? o profesjonalnych chronografach. Wersje z kalibrem Breitling 13 ??czy?y automatyczny chronograf, dat?, obrotowy bezel i mocn? kopert?, a warianty z mas? per?ow? i z?otem przenosi?y sportowe DNA kolekcji w stron? zegarka statusowego."
bvlgari,Bvlgari,Bvlgari Bvlgari Automatic 41,BB41SPG,do potwierdzenia,"bardzo dobry, ocena wst?pna ze zdj??",stal nierdzewna i 18k r??owe z?oto,Bvlgari Bvlgari BB41SPG to stalowo-z?oty automat 41 mm z charakterystycznym podw?jnym logo na bezelu.,"Podpis na bezelu jest tu elementem projektu, nie dodatkiem - Bvlgari zrobi?o z nazwy marki ornament.","Linia Bvlgari Bvlgari wywodzi si? z estetyki rzymskich monet, gdzie inskrypcja biegnie po obwodzie. W referencji BB41SPG ten motyw ??czy si? z nowoczesn? kopert? 41 mm, automatycznym mechanizmem BVL 191 widocznym przez przeszklony dekiel oraz dwukolorow? bransolet?."
bvlgari-diamenty,Bvlgari,Bvlgari Bvlgari Diamond Dial,BB33SLD / BB33SSD - do potwierdzenia,do potwierdzenia,"dobry / bardzo dobry, ocena wst?pna ze zdj??","stal, masa per?owa, diamenty, sk?ra","Bvlgari Bvlgari z per?ow? tarcz? i diamentowymi indeksami to subtelna, bi?uteryjna interpretacja rzymskiego klasyka marki.","Najbardziej rozpoznawalnym detalem nie jest tu koronka ani indeksy, lecz pe?ny napis BVLGARI BVLGARI na stalowym pier?cieniu.","Zegarki Bvlgari Bvlgari s? projektowane jak bi?uteria u?ytkowa: prosta tarcza zostaje oprawiona w mocny, graficzny bezel z nazw? marki. Wariant z mas? per?ow? i diamentowymi indeksami wzmacnia jubilerski charakter, ale pozostawia czytelny, oszcz?dny uk?ad dw?ch wskaz?wek."
cartier,Cartier,Cartier Must 21 Chronoscaph,2424 / W10125U2,"lata 2000., do potwierdzenia","dobry / bardzo dobry, ocena wst?pna ze zdj??",stal nierdzewna i guma,"Cartier Must 21 Chronoscaph ref. 2424 ??czy rzymski bezel, stal i gum? z praktycznym kwarcowym chronografem.","Chronoscaph pokazuje mniej formaln? stron? Cartiera - nadal z rzymskimi cyframi, ale w rytmie sportowego chronografu.","Must 21 Chronoscaph nale?y do okresu, w kt?rym Cartier ??czy? w?asny j?zyk projektowy z bardziej sportow? konstrukcj?. Bezel z rzymskimi cyframi i kaboszonowa koronka pozostaj? czytelnie cartierowskie, a chronograf, data i mieszana bransoleta stalowo-gumowa nadaj? mu codzienny, dynamiczny charakter."
chopard-full-diamenty,Chopard,Chopard Happy Sport Chronograph Diamond,288499 - wariant oprawy diamentowej do potwierdzenia,do potwierdzenia,"dobry / bardzo dobry, ocena wst?pna ze zdj??","stal, diamenty, sk?ra",Chopard Happy Sport Chronograph 288499 ??czy sportowy chronograf z ruchomymi diamentami i mocn? opraw? kamieni.,"Ruchome diamenty Happy Sport sprawiaj?, ?e tarcza nigdy nie wygl?da dok?adnie tak samo dwa razy.","Happy Sport to jedna z najbardziej rozpoznawalnych koncepcji Chopard: diamenty poruszaj? si? swobodnie pomi?dzy szafirowymi taflami nad tarcz?. W wersji chronograf 42 mm model nabiera bardziej sportowego charakteru, a rozbudowana oprawa diamentowa przenosi go w obszar wysokiej bi?uterii."
chopard-tourbillon,Chopard,Chopard L.U.C Tourbillon 8 Jours,16/8502 lub 16/8963 - do potwierdzenia,"ok. 2004-2006, do potwierdzenia","dobry / bardzo dobry, ocena wst?pna ze zdj??","bia?y metal szlachetny lub stal, sk?ra aligatora",Chopard L.U.C Tourbillon 8 Jours to zegarek wysokiej komplikacji z rezerw? chodu na osiem dni i widocznym tourbillonem na godzinie 6.,Osiem dni rezerwy chodu i tourbillon w jednym zegarku pokazuj? ambicj? Chopard Manufacture z pocz?tk?w linii L.U.C.,"Kolekcja L.U.C powsta?a jako manufakturowa odpowied? Chopard na wielk? tradycj? zegarmistrzowsk?. Tourbillony L.U.C wykorzystywa?y wielob?bnow? architektur? Quattro, daj?c? bardzo d?ug? rezerw? chodu, a otwarcie tarczy przy godzinie 6 eksponowa?o jedn? z najbardziej presti?owych komplikacji mechanicznych."
chopard-zielony,Chopard,Chopard Imperiale Chronograph Jewellery,Imperiale Chronograph - dok?adna referencja do potwierdzenia,do potwierdzenia,"dobry / bardzo dobry, ocena wst?pna ze zdj??","bia?y metal/stal, diamenty, masa per?owa, sk?ra",Chopard Imperiale Chronograph z zielonym paskiem i diamentow? opraw? ??czy cesarskie inspiracje kolekcji z funkcjonalno?ci? stopera.,Imperiale korzysta z detali kojarzonych z insygniami w?adzy - od kolumnowych uszu po kaboszony na koronce i przyciskach.,"Imperiale jest najbardziej ceremonialn? z codziennych linii Chopard: geometryczne uszy, kaboszony i rzymskie akcenty odnosz? si? do estetyki dawnych insygni?w. W chronografie z opraw? diamentow? i per?ow? tarcz? sportowa funkcja staje si? cz??ci? bi?uteryjnej kompozycji."
chronoswiss,Chronoswiss,Chronoswiss R?gulateur,CH 1223,"ok. 1995-2005, do potwierdzenia","dobry / bardzo dobry, ocena wst?pna ze zdj??",stal nierdzewna,"Chronoswiss R?gulateur CH 1223 z czarn? tarcz? prezentuje czas w historycznym uk?adzie regulatora z osobn? godzin?, minut? i sekund?.","W regulatorze najwa?niejsza jest minuta - dlatego centralna wskaz?wka prowadzi odczyt, a godziny i sekundy maj? w?asne subtarcze.","Chronoswiss zbudowa? swoj? rozpoznawalno?? na przeniesieniu koncepcji zegara regulatorowego na zegarek nar?czny. Model CH 1223 zachowuje karbowan? lunet?, cebulkow? koronk? i porz?dek tarczy, kt?ry celowo rozdziela wskazania, aby podkre?li? zegarmistrzowski rodow?d formy."
frederique-constant,Frederique Constant,Frederique Constant Manufacture Slimline Moonphase,FC-705N4S6,do potwierdzenia,"bardzo dobry, ocena wst?pna ze zdj??","stal nierdzewna, sk?ra","Frederique Constant FC-705N4S6 oferuje niebiesk? tarcz?, datownik wskaz?wkowy i fazy ksi??yca w smuk?ej kopercie manufacture.","To zegarek, kt?ry wygl?da klasycznie, ale sercem jest manufakturowy kaliber FC-705 z komplikacj? faz ksi??yca.","Slimline Moonphase Manufacture jest przyk?adem strategii Frederique Constant: oferowa? klasyczne komplikacje w przyst?pniejszym, ale nadal eleganckim wydaniu. Referencja FC-705N4S6 wyr??nia si? granatow? tarcz? oraz zintegrowanym wskazaniem daty i fazy ksi??yca na godzinie 6."
omega-biala-tarcza,Omega,Omega Constellation Manhattan Quartz Date,rodzina 396 / 1512 - do potwierdzenia z dekla,"lata 1990-2000., do potwierdzenia","dobry, ocena wst?pna ze zdj??",stal nierdzewna,Omega Constellation Manhattan z jasn? tarcz? i zintegrowan? bransolet? to elegancki kwarcowy klasyk z charakterystycznymi pazurami koperty.,"Cztery pazury Constellation Manhattan zacz??y jako element konstrukcyjny, a sta?y si? jednym z najbardziej rozpoznawalnych znak?w Omegi.","Constellation Manhattan zadebiutowa? w 1982 roku i zmieni? eleganck? lini? Omegi w zegarek o mocnej, architektonicznej kopercie. Jasna tarcza, rzymski bezel i zintegrowana bransoleta tworz? dyskretny, codzienny wariant tej stylistyki."
omega-czarna-tarcza,Omega,Omega Constellation Manhattan Day-Date Quartz,396.1070 / 396.1080 - do potwierdzenia,"ok. 1980-1990, do potwierdzenia","dobry, ocena wst?pna ze zdj??","stal / stal-z?oto, do potwierdzenia",Omega Constellation Manhattan Day-Date z czarn? tarcz? wyr??nia si? dwoma subtarczzami kalendarza i smuk?ym kwarcowym profilem.,"W tej konfiguracji Constellation ??czy elegancki profil z funkcjonalnym, niemal instrumentowym uk?adem dnia i daty.","Wersje Day-Date Constellation Manhattan nale?? do najbardziej charakterystycznych odmian tej linii z lat 80. i 90. Kwarcowy kaliber pozwala? zachowa? bardzo smuk?? kopert?, a osobne wskazania dnia tygodnia i daty nada?y tarczy techniczny, kolekcjonerski charakter."
piaget,Piaget,Piaget Possession,do potwierdzenia,do potwierdzenia,"dobry / bardzo dobry, ocena wst?pna ze zdj??","bia?y metal/stal, diament, sk?ra",Piaget Possession z bia?ym paskiem i obrotowym pier?cieniem to minimalistyczna bi?uteria zegarkowa z jednym diamentowym akcentem.,"W Possession najwa?niejszy jest ruch pier?cienia - ma?y, dotykowy gest, kt?ry odr??nia zegarek od klasycznej bi?uterii.","Possession przenosi motyw obrotowego pier?cienia z bi?uterii Piageta do zegarka. Oszcz?dna tarcza, mi?kka koperta i ruchomy detal z diamentem tworz? przedmiot bli?szy luksusowej bransolecie ni? klasycznemu zegarkowi narz?dziowemu."
tag-heuer,TAG Heuer,TAG Heuer Grand Carrera Calibre 36 RS2 Caliper Chronograph Ti2,CAV5186.FC6304,"ok. 2012-2013, do potwierdzenia","dobry / bardzo dobry, ocena wst?pna ze zdj??","tytan PVD, sk?ra",TAG Heuer Grand Carrera CAV5186.FC6304 to tytanowy chronograf Calibre 36 z systemem Caliper do odczytu 1/10 sekundy.,"Calibre 36 bazuje na idei wysokiej cz?stotliwo?ci 36 000 wahni?? na godzin?, dzi?ki czemu chronograf mo?e mierzy? dziesi?te cz??ci sekundy.","Grand Carrera Calibre 36 RS2 by? pokazem technicznej strony TAG Heuera: zamiast klasycznych licznik?w wykorzystano system Rotating System i skal? Caliper, inspirowane desk? rozdzielcz? samochodu GT. Mechanizm Calibre 36 pracuje z wysok? cz?stotliwo?ci?, podkre?laj?c sportowy rodow?d marki."
wyler-geneva,Wyler Gen?ve,Wyler Gen?ve Code-R Chronograph,100.1 / 100.4 family - do potwierdzenia,"ok. 2008-2009, do potwierdzenia","dobry / bardzo dobry, ocena wst?pna ze zdj??","tytan/stal, materia?y specjalne, guma","Wyler Gen?ve Code-R Chronograph to masywny, techniczny chronograf z amortyzowan? konstrukcj? Incaflex i niebieskim paskiem gumowym.","Code-R wygl?da jak zegarek zbudowany wok?? koperty - ?ruby, mostki i amortyzacja s? tu cz??ci? j?zyka projektu.","Wyler Gen?ve wskrzesi? system Incaflex w nowoczesnej, bardzo du?ej kopercie Code-R. Chronografy tej serii cz?sto korzysta?y z automatycznych kalibr?w ETA 2894-2, mia?y dat?, 100 m wodoszczelno?ci i konstrukcj? zaprojektowan? tak, by eksponowa? techniczny charakter zegarka."
